image_path,num_gt_tokens,num_pred_tokens,token_edits,token_error_rate,cer,error_tokens,error_entropies,error_probs
data/oldNepaliDataset_new/images/DNA_2_00000036_result/eSc_line_f38d2bf1.png,32,33,1,0.03125,0.03030303120613098,.,0.00432912353426218,0.9994982481002808
data/oldNepaliDataset_new/images/DNA_2_00000051_result/eSc_line_35393549.png,42,41,3,0.07142857142857142,0.0833333358168602,व|त|.,0.6678792834281921|0.026791030541062355|0.6628103256225586,0.6708716154098511|0.9959795475006104|0.8019552826881409
data/oldNepaliDataset_new/images/DNA_1_00000321/eSc_line_f3eff00e.png,41,40,5,0.12195121951219512,0.15555556118488312,द|्|ु|र|द,0.7213329076766968|0.6599833369255066|0.10301651805639267|0.0001771570387063548|1.518385648727417,0.7984330058097839|0.703163206577301|0.9787391424179077|0.9999864101409912|0.41405177116394043
data/oldNepaliDataset_new/images/DNA_0013_0165/eSc_line_9d25e992.png,32,30,2,0.0625,0.05882352963089943,,,
data/oldNepaliDataset_new/images/DNA_0001_0368/eSc_line_e719874c.png,52,52,0,0.0,0.0,,,
data/oldNepaliDataset_new/images/12/eSc_line_429ce9d5.png,80,80,2,0.025,0.021978022530674934,घ|वन,1.0782694816589355|0.19619420170783997,0.547048807144165|0.9551674127578735
data/oldNepaliDataset_new/images/DNA_0015_0290/eSc_line_9e25fd18.png,69,69,5,0.07246376811594203,0.0810810774564743,ल|य|क|र|य,0.6429153680801392|5.840850008098641e-06|2.602339009172283e-05|1.0936391353607178|0.34129488468170166,0.6797627210617065|0.9999998807907104|0.9999986886978149|0.6617934703826904|0.9296379089355469
data/oldNepaliDataset_new/images/CA__The Cambridge Manuscript_Page_022/eSc_line_5cdba9de.png,71,74,7,0.09859154929577464,0.1066666692495346,ी|ष|े|त|ी|ा,9.036227129399776e-05|0.7205731868743896|0.04814618080854416|1.369834065437317|0.24262161552906036|3.679188739624806e-05,0.9999943971633911|0.8418095111846924|0.9917940497398376|0.5124200582504272|0.9359055757522583|0.9999979734420776
data/oldNepaliDataset_new/images/DNA_1_00000026/eSc_line_e645e303.png,5,3,1,0.2,0.6000000238418579,आ,0.48392021656036377,0.8121933937072754
data/oldNepaliDataset_new/images/DNA_0012_0638/eSc_line_66b1a7c0.png,57,59,3,0.05263157894736842,0.016393441706895828,म|ं|न,0.5464043617248535|0.3721868097782135|0.000796369044110179,0.8906998634338379|0.9297268986701965|0.9999392032623291
data/oldNepaliDataset_new/images/DNA_0001_0367/eSc_line_940decf3.png,47,47,0,0.0,0.0,,,
data/oldNepaliDataset_new/images/CA__The Cambridge Manuscript_Page_003/eSc_line_371b0c2a.png,2,2,0,0.0,0.0,,,
data/oldNepaliDataset_new/images/DNA_0012_0006/eSc_line_623e9566.png,58,58,2,0.034482758620689655,0.04838709533214569,.|ल,0.6957135200500488|1.638633693801239e-05,0.5605318546295166|0.9999991655349731
data/oldNepaliDataset_new/images/DNA_0001_0177/eSc_line_11f521cd.png,50,49,6,0.12,0.17307692766189575,आ|श|श|्|र|स,0.484521746635437|1.0715432167053223|0.4289953410625458|4.1555456846253946e-05|1.0616627150739077e-05|0.3386422097682953,0.8228093385696411|0.5673800706863403|0.8969595432281494|0.9999973773956299|0.9999995231628418|0.9170529246330261
data/oldNepaliDataset_new/images/DNA_0013_0472/eSc_line_61842f4b.png,11,13,2,0.18181818181818182,0.1818181872367859,श|्,8.645769412396476e-06|1.0441721315146424e-05,0.9999996423721313|0.9999994039535522
data/oldNepaliDataset_new/images/DNA_2_00000394_result/eSc_line_b9d14a46.png,38,39,1,0.02631578947368421,0.023255813866853714,.,2.2044907382223755e-05,0.9999988079071045
data/oldNepaliDataset_new/images/DNA_1_00000523/eSc_line_27906391.png,32,35,6,0.1875,0.1621621549129486,र|ु|्|ञ|ा|व,0.07419580966234207|0.40074098110198975|0.0009497143910266459|0.1546112447977066|0.0034489997196942568|2.1995606422424316,0.9867527484893799|0.8633188009262085|0.9999172687530518|0.9786515831947327|0.999707043170929|0.22922492027282715
data/oldNepaliDataset_new/images/18/eSc_line_187b369b.png,78,79,3,0.038461538461538464,0.023255813866853714,र|ई|न,0.7054781913757324|0.00011847923451568931|0.00016642427362967283,0.519059419631958|0.9999929666519165|0.9999889135360718
data/oldNepaliDataset_new/images/DNA_1_00000321/eSc_line_0d3a72d4.png,42,38,4,0.09523809523809523,0.13636364042758942,अ|द,0.013914661481976509|0.1797698736190796,0.9981118440628052|0.957040548324585
data/oldNepaliDataset_new/images/CA__The Cambridge Manuscript_Page_010/eSc_line_96ddffb7.png,76,74,2,0.02631578947368421,0.02469135820865631,,,
data/oldNepaliDataset_new/images/DNA_1_00000054/eSc_line_b9d1aad5.png,49,51,2,0.04081632653061224,0.035087719559669495,र|्,0.8259233832359314|0.00025966321118175983,0.7088296413421631|0.9999827146530151
